TiO2_wt,TiO2_fine_frac,TiO2_fine_wt,TiO2_coarse_wt,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,K_solar,K_vis,K_NIR1,K_NIR2,NIR2_NIR1,ZrO2_present,rank
10,0.7,7.0,3.0,15,20.0,5.0,50.0,7.189017446541783,7.704208519919581,7.495023504484964,3.3830987351846598,0.4513793363236606,True,91
15,0.5,7.5,7.5,10,15.0,5.0,55.0,7.116638582134005,7.479325131945866,7.394324965621553,4.133835697715474,0.5590551831215052,True,92
20,0.5,10.0,10.0,0,20.0,5.0,55.0,7.0878524845484785,7.29677548470572,7.5330981819694784,4.1488968003587035,0.5507557050416675,False,93
15,0.7,10.5,4.5,5,15.0,5.0,60.0,7.065306572055699,7.4362985270712585,7.592709783371203,3.045874884961406,0.40115781741482837,True,94
10,0.7,7.0,3.0,15,15.0,5.0,55.0,6.957741373915148,7.456358364813785,7.253902987912087,3.2742619164399756,0.45137933632366045,True,95
20,0.5,10.0,10.0,0,15.0,5.0,60.0,6.871873780323863,7.07443054769691,7.303552097639223,4.02247298484384,0.5507557050416675,False,96
10,0.6,6.0,4.0,15,20.0,5.0,50.0,6.813384167464911,7.285358445080657,7.036235274902756,3.5507906661439175,0.5046435384002976,True,97
15,0.4,6.0,9.0,10,20.0,5.0,50.0,6.792572277777799,7.1029455334423846,6.955755005523822,4.519420529677134,0.6497383139699566,True,98
15,0.6,9.0,6.0,5,20.0,5.0,55.0,6.752025445163988,7.072970938521026,7.177224246003263,3.382213406133163,0.4712425431066328,True,99
10,0.6,6.0,4.0,15,15.0,5.0,55.0,6.594192498608164,7.05098301041454,6.809874319103534,3.4365590724537243,0.5046435384002975,True,100
15,0.4,6.0,9.0,10,15.0,5.0,55.0,6.575878870991219,6.876350746825746,6.733855821049795,4.375244127685672,0.6497383139699566,True,101
15,0.6,9.0,6.0,5,15.0,5.0,60.0,6.544622067016374,6.855709010510988,6.95675994733712,3.2783212493655083,0.47124254310663266,True,102
10,0.5,5.0,5.0,15,20.0,5.0,50.0,6.4377508883880425,6.866508370241733,6.577447045320549,3.7184825971031756,0.565338279651928,True,103
20,0.4,8.0,12.0,0,20.0,5.0,55.0,6.3775106506870385,6.50470846922386,6.665506063517226,4.466010859193167,0.6700182726765928,False,104
10,0.5,5.0,5.0,15,15.0,5.0,55.0,6.23064362330118,6.645607656015295,6.365845650294982,3.5988562284674726,0.5653382796519278,True,105
15,0.5,7.5,7.5,5,20.0,5.0,55.0,6.21484010567029,6.473982158287675,6.521120741357723,3.6220261487210434,0.555430008487609,True,106
15,0.7,10.5,4.5,0,20.0,5.0,60.0,6.197100190574322,6.468314298380994,6.750453158616235,2.559870884192933,0.37921467256246794,False,107
20,0.4,8.0,12.0,0,15.0,5.0,60.0,6.183177248642228,6.306499137186477,6.46239696019741,4.329924048621933,0.670018272676593,False,108
10,0.4,4.0,6.0,15,20.0,5.0,50.0,6.062117609311171,6.44765829540281,6.118658815738341,3.8861745280624334,0.6351350263339511,True,109
10,0.7,7.0,3.0,10,20.0,5.0,55.0,6.049442229123081,6.442740690556372,6.37431465739638,2.7638912052620115,0.43359817546109913,True,110
15,0.5,7.5,7.5,5,15.0,5.0,60.0,6.023937561977047,6.275119493950715,6.320810111303037,3.510767613769611,0.555430008487609,True,111
15,0.7,10.5,4.5,0,15.0,5.0,65.0,6.013556459491849,6.27673783461094,6.55052039633584,2.484053447210263,0.3792146725624679,False,112
10,0.4,4.0,6.0,15,15.0,5.0,55.0,5.867094747994194,6.240232301616048,5.921816981486429,3.7611533844812217,0.6351350263339511,True,113
10,0.7,7.0,3.0,10,15.0,5.0,60.0,5.86211074079221,6.243230032089145,6.176922929922614,2.678302512378272,0.43359817546109913,True,114
10,0.6,6.0,4.0,10,20.0,5.0,55.0,5.688316522772147,6.0400672919079135,5.933245580980856,2.9251065990786542,0.49300278560104527,True,115
15,0.6,9.0,6.0,0,20.0,5.0,60.0,5.679730406252433,5.891420862806892,6.118551831950783,2.7908374757742878,0.4561271281875343,False,116
15,0.4,6.0,9.0,5,20.0,5.0,55.0,5.67765476617659,5.874993378054323,5.8650172367121804,3.861838891308925,0.6584531187965954,True,117
10,0.6,6.0,4.0,10,15.0,5.0,60.0,5.5121679193227235,5.853026114795003,5.749512323728339,2.8345255914456104,0.4930027856010453,True,118
15,0.6,9.0,6.0,0,15.0,5.0,65.0,5.511509967942957,5.716930644271876,5.937334521027547,2.7081793441650053,0.4561271281875344,False,119
15,0.4,6.0,9.0,5,15.0,5.0,60.0,5.503253056937721,5.6945299773904425,5.684860275268954,3.7432139781737144,0.6584531187965954,True,120
10,0.5,5.0,5.0,10,20.0,5.0,55.0,5.3271908164212105,5.637393893259453,5.492176504565331,3.086321992895297,0.5619487994112744,True,121
15,0.5,7.5,7.5,0,20.0,5.0,60.0,5.1623606219305405,5.314527427232789,5.48665050528533,3.021804067355643,0.5507557050416675,False,122
10,0.5,5.0,5.0,10,15.0,5.0,60.0,5.162225097853237,5.462822197500861,5.322101717534063,2.990748670512948,0.5619487994112743,True,123
15,0.5,7.5,7.5,0,15.0,5.0,65.0,5.009463476394066,5.157123453932813,5.324148645719255,2.9323052411197477,0.5507557050416675,False,124
10,0.7,7.0,3.0,5,20.0,5.0,60.0,4.994618302254856,5.27508942098867,5.336953990989749,2.1907347270622926,0.4104840946279202,True,125
10,0.4,4.0,6.0,10,20.0,5.0,55.0,4.966065110070275,5.234720494610993,5.051107428149808,3.2475373867119393,0.6429357191283286,True,126
10,0.7,7.0,3.0,5,15.0,5.0,65.0,4.8455309604002545,5.117630129361623,5.177648066899865,2.1253421790433915,0.41048409462792007,True,127
10,0.4,4.0,6.0,10,15.0,5.0,60.0,4.81228227638375,5.072618280206719,4.894691111339788,3.146971749580286,0.6429357191283289,True,128
10,0.6,6.0,4.0,5,20.0,5.0,60.0,4.646921226676324,4.887389623768252,4.912286277501719,2.3459552499508396,0.47756891952639635,True,129
15,0.4,6.0,9.0,0,20.0,5.0,60.0,4.644990837608652,4.7376339916586865,4.854749178619877,3.252770658936998,0.6700182726765929,False,130
10,0.6,6.0,4.0,5,15.0,5.0,65.0,4.508212502291893,4.741503014718185,4.765656513379216,2.2759294319284455,0.47756891952639635,True,131
15,0.4,6.0,9.0,0,15.0,5.0,65.0,4.5074169848451735,4.597316263593748,4.710962770410962,3.156431138074489,0.6700182726765929,False,132
10,0.5,5.0,5.0,5,20.0,5.0,60.0,4.299224151097792,4.499689826547835,4.4876185640136885,2.5011757728393866,0.5573503490016665,True,133
10,0.5,5.0,5.0,5,15.0,5.0,65.0,4.170894044183534,4.365375900074744,4.353664959858569,2.4265166848134996,0.5573503490016665,True,134
10,0.7,7.0,3.0,0,20.0,5.0,65.0,4.015430082358274,4.191164095647795,4.373976835792613,1.6586761935809153,0.37921467256246794,False,135
10,0.4,4.0,6.0,5,20.0,5.0,60.0,3.9515270755192593,4.111990029327417,4.062950850525657,2.6563962957279332,0.6538096062334237,True,136
