TiO2_wt,TiO2_fine_frac,ZrO2_wt,BaSO4_wt,SiO2_wt,Lime_wt,K_solar,eps_window,K_solar_norm,eps_window_norm,dual_obj,pareto_flag,row_rank
15,0.6,10,15.0,5.0,55.0,2.211697938465796,0.8804749025344561,0.4496370505589404,0.9918728324405641,0.7207549414997523,False,117
15,0.5,10,25.0,5.0,45.0,2.169935646572555,0.885987585548305,0.44114679814929886,0.998082981644765,0.7196148898970319,False,118
20,0.4,5,15.0,5.0,55.0,2.1913474369564163,0.8810052526075273,0.4454998040946152,0.9924702825525978,0.7189850433236065,False,119
20,0.5,0,15.0,5.0,60.0,2.1919045736377187,0.8793201005284904,0.44561306969466946,0.9905719245631582,0.7180924971289139,False,120
15,0.4,15,20.0,5.0,45.0,2.158572205821443,0.8846573416559812,0.4388366165034835,0.9965844349246735,0.7177105257140786,False,121
15,0.7,5,15.0,5.0,60.0,2.1536638576638953,0.8786899133856876,0.4378387518537533,0.9898620059675228,0.7138503789106381,False,122
15,0.6,5,25.0,5.0,50.0,2.1097547755748565,0.8849472062460182,0.4289120581041714,0.9969109732633775,0.7129115156837744,False,123
20,0.4,0,25.0,5.0,50.0,2.089749421038371,0.8853107503345067,0.42484497984148106,0.9973205130511991,0.7110827464463401,False,124
15,0.5,10,20.0,5.0,50.0,2.098430261971004,0.8834953297916899,0.42660979032732343,0.9952754049956585,0.7109425976614909,False,125
15,0.4,15,15.0,5.0,50.0,2.0869490007852383,0.8819839725830749,0.4242756558478901,0.9935728304520534,0.7089242431499717,False,126
15,0.7,0,25.0,5.0,55.0,2.054153556253716,0.8837399465614074,0.4176083588836618,0.9955509707472134,0.7065796648154377,False,127
15,0.6,5,20.0,5.0,55.0,2.0428952590074205,0.8821428792792471,0.4153195528581647,0.9937518420676852,0.7045356974629249,False,128
20,0.4,0,20.0,5.0,55.0,2.024069900933924,0.8826176689840843,0.41149236726800464,0.994286702298221,0.7028895347831128,False,129
15,0.5,10,15.0,5.0,55.0,2.031487138839554,0.8804749025344561,0.41300028790995946,0.9918728324405641,0.7024365601752618,False,130
10,0.7,15,25.0,5.0,45.0,1.9974473973260582,0.8856571484178123,0.4060800260108441,0.9977107375164862,0.7018953817636652,False,131
15,0.4,10,25.0,5.0,45.0,1.9774432450554562,0.885987585548305,0.402013192168188,0.998082981644765,0.7000480869064765,False,132
15,0.7,0,20.0,5.0,60.0,1.9914573779654021,0.8805489958381219,0.4048622581632217,0.9919563000496467,0.6984092791064342,False,133
15,0.6,5,15.0,5.0,60.0,1.9801432179553007,0.8786899133856876,0.4025620952666451,0.9898620059675228,0.6962120506170839,False,134
20,0.4,0,15.0,5.0,60.0,1.9623931101969898,0.8793201005284904,0.39895350751117314,0.9905719245631582,0.6947627160371657,False,135
15,0.5,5,25.0,5.0,50.0,1.9248762299391358,0.8849472062460182,0.3913263450981105,0.9969109732633775,0.694118659180744,False,136
10,0.7,15,20.0,5.0,50.0,1.9310520307112866,0.8830678649331609,0.39258188221090257,0.9947938571641672,0.6936878696875349,False,137
15,0.4,10,20.0,5.0,50.0,1.9122810177844445,0.8834953297916899,0.38876574496103755,0.9952754049956585,0.692020574978348,False,138
15,0.7,0,15.0,5.0,65.0,1.9324750303829903,0.8765457171560685,0.3928711773104744,0.9874465254337124,0.6901588513720933,False,139
10,0.6,15,25.0,5.0,45.0,1.8679616632817273,0.8856571484178125,0.3797556430412875,0.9977107375164865,0.688733190278887,False,140
15,0.6,0,25.0,5.0,55.0,1.8763094663133324,0.8837399465614074,0.3814527470935622,0.9955509707472134,0.6885018589203878,False,141
15,0.5,5,20.0,5.0,55.0,1.8638756360901125,0.882142879279247,0.37892495581995034,0.9937518420676851,0.6863383989438177,False,142
10,0.7,15,15.0,5.0,55.0,1.8689286413856105,0.8799140861325748,0.37995222919124194,0.9912410613913134,0.6855966452912776,False,143
15,0.4,10,15.0,5.0,55.0,1.8512763392133122,0.8804749025344561,0.37636352526097866,0.9918728324405641,0.6841181788507714,False,144
10,0.6,15,20.0,5.0,50.0,1.8058704164123693,0.8830678649331609,0.367132524566424,0.9947938571641672,0.6809631908652956,False,145
15,0.6,0,20.0,5.0,60.0,1.8190413850319243,0.8805489958381219,0.369810175695949,0.9919563000496467,0.6808832378727978,False,146
15,0.5,5,15.0,5.0,60.0,1.8066225782467062,0.8786899133856876,0.36728543867953695,0.9898620059675228,0.6785737223235299,False,147
10,0.7,10,25.0,5.0,50.0,1.757147526103964,0.8845652108074628,0.3572271860878002,0.9964806476555395,0.6768539168716698,False,148
10,0.5,15,25.0,5.0,45.0,1.7384759292373966,0.8856571484178125,0.353431260071731,0.9977107375164865,0.6755709987941088,False,149
15,0.4,5,25.0,5.0,50.0,1.7399976843034155,0.8849472062460182,0.3537406320920497,0.9969109732633775,0.6753258026777136,False,150
10,0.6,15,15.0,5.0,55.0,1.7477742133239507,0.8799140861325748,0.3553215964324175,0.9912410613913134,0.6732813289118654,False,151
15,0.6,0,15.0,5.0,65.0,1.7651655991748547,0.8765457171560685,0.3588572562090674,0.9874465254337124,0.6731518908213898,False,152
15,0.5,0,25.0,5.0,55.0,1.698465376372949,0.8837399465614074,0.3452971353034626,0.9955509707472134,0.670424053025338,False,153
10,0.7,10,20.0,5.0,55.0,1.7009955569861848,0.881641423927445,0.34581151971759555,0.9931869424451035,0.6694992310813496,False,154
10,0.5,15,20.0,5.0,50.0,1.6806888021134518,0.8830678649331609,0.34168316692194534,0.9947938571641672,0.6682385120430563,False,155
15,0.4,5,20.0,5.0,55.0,1.6848560131728048,0.8821428792792471,0.34253035878173604,0.9937518420676852,0.6681411004247106,False,156
10,0.6,10,25.0,5.0,50.0,1.6328278308658877,0.8845652108074628,0.331953056143993,0.9964806476555395,0.6642168518997662,False,157
15,0.5,0,20.0,5.0,60.0,1.6466253920984466,0.8805489958381219,0.33475809322867633,0.9919563000496467,0.6633571966391616,False,158
10,0.4,15,25.0,5.0,45.0,1.6089901951930656,0.8856571484178125,0.32710687710217445,0.9977107375164865,0.6624088073093305,False,159
10,0.7,10,15.0,5.0,60.0,1.6483212744216889,0.8780201111273715,0.3351028652306101,0.9891074601409255,0.6621051626857678,False,160
10,0.5,15,15.0,5.0,55.0,1.6266197852622908,0.8799140861325748,0.33069096367359313,0.9912410613913134,0.6609660125324532,False,161
15,0.4,5,15.0,5.0,60.0,1.6331019385381118,0.8786899133856876,0.3320087820924288,0.9898620059675228,0.6609353940299758,False,162
10,0.6,10,20.0,5.0,55.0,1.5806486617458515,0.881641423927445,0.3213450579649903,0.9931869424451035,0.6572660002050469,False,163
15,0.5,0,15.0,5.0,65.0,1.5978561679667191,0.8765457171560684,0.32484333510766045,0.9874465254337123,0.6561449302706863,False,164
10,0.4,15,20.0,5.0,50.0,1.555507187814535,0.8830678649331609,0.31623380927746686,0.9947938571641672,0.655513833220817,False,165
10,0.7,5,25.0,5.0,55.0,1.5352863049432968,0.8832933116114552,0.31212291421544575,0.9950478274189927,0.6535853708172192,False,166
15,0.4,0,25.0,5.0,55.0,1.5206212864325654,0.8837399465614074,0.309141523513363,0.9955509707472134,0.6523462471302882,False,167
10,0.5,10,25.0,5.0,50.0,1.5085081356278116,0.8845652108074628,0.3066789262001859,0.9964806476555395,0.6515797869278627,False,168
10,0.6,10,15.0,5.0,60.0,1.5317011298713348,0.8780201111273715,0.3113940499717992,0.9891074601409255,0.6502507550563623,False,169
10,0.4,15,15.0,5.0,55.0,1.505465357200631,0.8799140861325748,0.3060603309147687,0.9912410613913134,0.648650696153041,False,170
10,0.7,5,20.0,5.0,60.0,1.4880486015707723,0.8799525330198076,0.3025195134751378,0.9912843725894274,0.6469019430322825,False,171
15,0.4,0,20.0,5.0,60.0,1.4742093991649687,0.8805489958381219,0.29970601076140363,0.9919563000496467,0.6458311554055252,False,172
10,0.5,10,20.0,5.0,55.0,1.4603017665055187,0.881641423927445,0.29687859621238516,0.9931869424451035,0.6450327693287443,False,173
10,0.6,5,25.0,5.0,55.0,1.415736248874356,0.883293311611455,0.28781844945554164,0.9950478274189924,0.641433138437267,False,174
10,0.7,5,15.0,5.0,65.0,1.4436309509850431,0.8757317700958202,0.293489428012392,0.9865295975646938,0.6400095127885429,False,175
15,0.4,0,15.0,5.0,65.0,1.4305467367585842,0.8765457171560685,0.2908294140062536,0.9874465254337124,0.639137969719983,False,176
10,0.4,10,25.0,5.0,50.0,1.3841884403897358,0.8845652108074628,0.2814047962563788,0.9964806476555395,0.6389427219559591,False,177
10,0.5,10,15.0,5.0,60.0,1.4150809853209805,0.8780201111273715,0.28768523471298824,0.9891074601409255,0.638396347426957,False,178
10,0.6,5,20.0,5.0,60.0,1.3721768627437492,0.8799525330198076,0.27896284871400895,0.9912843725894274,0.6351236106517182,False,179
10,0.4,10,20.0,5.0,55.0,1.3399548712651856,0.881641423927445,0.27241213445978,0.9931869424451035,0.6327995384524417,False,180
10,0.7,0,25.0,5.0,60.0,1.329819900216062,0.881792966446411,0.2703517000709912,0.993357658165778,0.6318546791183846,False,181
10,0.5,5,25.0,5.0,55.0,1.2961861928054155,0.8832933116114552,0.2635139846956376,0.9950478274189927,0.6292809060573151,False,182
10,0.6,5,15.0,5.0,65.0,1.3312179368277297,0.87573177009582,0.2706359201933284,0.9865295975646937,0.628582758879011,False,183
10,0.4,10,15.0,5.0,60.0,1.2984608407706264,0.8780201111273715,0.2639764194541774,0.9891074601409255,0.6265419397975515,False,184
10,0.7,0,20.0,5.0,65.0,1.290370918220627,0.8779214217919082,0.2623317423708523,0.9889962846032516,0.6256640134870519,False,185
10,0.5,5,20.0,5.0,60.0,1.2563051239167267,0.8799525330198076,0.25540618395288023,0.9912843725894274,0.6233452782711538,False,186
10,0.6,0,25.0,5.0,60.0,1.2146870226283428,0.881792966446411,0.24694524541886279,0.993357658165778,0.6201514517923205,False,187
10,0.7,0,15.0,5.0,70.0,1.253195006475591,0.8729115760358581,0.2547738986806453,0.9833525917667607,0.619063245223703,False,188
10,0.5,5,15.0,5.0,65.0,1.2188049226704165,0.87573177009582,0.2477824123742649,0.9865295975646937,0.6171560049694793,False,189
10,0.4,5,25.0,5.0,55.0,1.1766361367364746,0.883293311611455,0.23920951993573347,0.9950478274189924,0.6171286736773629,False,190
10,0.6,0,20.0,5.0,65.0,1.178653446594499,0.8779214217919082,0.2396196379897634,0.9889962846032516,0.6143079612965076,False,191
10,0.4,5,20.0,5.0,60.0,1.1404333850897035,0.8799525330198076,0.23184951919175134,0.9912843725894274,0.6115669458905894,False,192
10,0.5,0,25.0,5.0,60.0,1.0995541450406237,0.881792966446411,0.22353879076673436,0.993357658165778,0.6084482244662562,False,193
10,0.6,0,15.0,5.0,70.0,1.1446961433959717,0.8729115760358581,0.23271613575757663,0.9833525917667607,0.6080343637621687,False,194
10,0.4,5,15.0,5.0,65.0,1.106391908513103,0.87573177009582,0.22492890455520134,0.9865295975646937,0.6057292510599476,False,195
