TiO2_wt,TiO2_fine_frac,ZrO2_wt,CaSO4_wt,SiO2_wt,Lime_wt,K_solar,eps_window,dual_obj,pareto_flag,eps_flag,row_rank
20,0.7,5,20.0,5.0,50.0,2.812050466405749,0.9055589815689832,0.7974508013731716,False,False,63
25,0.5,0,25.0,5.0,45.0,2.7714036449505843,0.9098833152004256,0.7954644816973178,False,False,64
20,0.5,15,15.0,5.0,45.0,2.8152643941336652,0.899857258935976,0.7946713937684315,False,False,65
20,0.6,10,15.0,5.0,50.0,2.7922313596592017,0.8998478887195291,0.7921981691348399,False,False,66
25,0.4,5,25.0,5.0,40.0,2.7329784003165463,0.9093739882408179,0.7910680034806703,False,False,67
20,0.7,5,15.0,5.0,55.0,2.7708776620168045,0.8998372018591855,0.7899041714840579,False,False,68
25,0.5,0,20.0,5.0,50.0,2.7305510824722456,0.9054465817605912,0.7886562034822451,False,False,69
25,0.4,5,20.0,5.0,45.0,2.6911573413221412,0.9051350946741764,0.7842643368328415,False,False,70
25,0.5,0,15.0,5.0,55.0,2.690885418866519,0.8998409271779744,0.7813346916560506,False,False,71
20,0.5,10,25.0,5.0,40.0,2.6365730677878716,0.9095378291320771,0.780827511184564,False,False,72
20,0.6,5,25.0,5.0,45.0,2.620420901585618,0.9100656171929086,0.7793858939494855,False,False,73
20,0.7,0,25.0,5.0,50.0,2.605438002817671,0.9106552385428345,0.7781034453746674,False,False,74
25,0.4,5,15.0,5.0,50.0,2.650596914673288,0.8998511458883856,0.7770231996750137,False,False,75
15,0.7,15,25.0,5.0,40.0,2.5998342840645714,0.9097074992107811,0.7769837457488398,False,False,76
20,0.4,15,20.0,5.0,40.0,2.6114490626084916,0.90494650278208,0.775619920505989,False,False,77
20,0.5,10,20.0,5.0,45.0,2.5958908039778334,0.9052348881551043,0.774110781894116,False,False,78
20,0.6,5,20.0,5.0,50.0,2.581483752292943,0.9055589815689832,0.7727445634816971,False,False,79
20,0.7,0,20.0,5.0,55.0,2.5681046936491025,0.9059258528004882,0.7715119356645518,False,False,80
15,0.7,15,20.0,5.0,45.0,2.559381572275073,0.9053386372043101,0.7702554979132927,False,False,81
20,0.4,15,15.0,5.0,45.0,2.570206374279483,0.899857258935976,0.7684123487062333,False,False,82
20,0.5,10,15.0,5.0,50.0,2.556444915771702,0.8998478887195291,0.7669326142316317,False,False,83
20,0.6,5,15.0,5.0,55.0,2.5436868041811804,0.8998372018591855,0.765559671446169,False,False,84
25,0.4,0,25.0,5.0,45.0,2.4812135910642743,0.9098833152004255,0.7643693406113964,False,False,85
20,0.7,0,15.0,5.0,60.0,2.5318261681215968,0.8998248998748918,0.7642820122371632,False,False,86
15,0.7,15,15.0,5.0,50.0,2.520168439284162,0.8998444858175447,0.7630435658197932,False,False,87
25,0.4,0,20.0,5.0,50.0,2.4446386470153487,0.9054465817605912,0.7580194280321991,False,False,88
15,0.6,15,25.0,5.0,40.0,2.415893777611452,0.9097074992107812,0.7572737111595207,False,False,89
20,0.4,10,25.0,5.0,40.0,2.3933962311316446,0.9095378291320771,0.7547700431790758,False,False,90
20,0.5,5,25.0,5.0,45.0,2.3863764934678207,0.9100656171929086,0.7543070058438128,False,False,91
20,0.6,0,25.0,5.0,50.0,2.379864919882109,0.9106552385428347,0.7539322970353948,False,False,92
25,0.4,0,15.0,5.0,55.0,2.4091263232091684,0.8998409271779744,0.7511429648398744,False,False,93
15,0.6,15,20.0,5.0,45.0,2.3783031298925636,0.9053386372043102,0.7508521460819824,False,False,94
15,0.7,10,25.0,5.0,45.0,2.3489725477795034,0.9102547708442339,0.750402639812161,False,False,95
20,0.4,10,20.0,5.0,45.0,2.356466180504016,0.9052348881551043,0.7484553800405475,False,False,96
20,0.5,5,20.0,5.0,50.0,2.350917038180137,0.9055589815689832,0.7480383255902225,False,False,97
20,0.6,0,20.0,5.0,55.0,2.3457638463822583,0.9059258528004882,0.7476871355987491,False,False,98
15,0.7,10,20.0,5.0,50.0,2.3137863269801517,0.9056761182675073,0.7441237820178719,False,False,99
15,0.6,15,15.0,5.0,50.0,2.34186435970861,0.8998444858175447,0.7439374991702129,False,False,100
20,0.4,10,15.0,5.0,50.0,2.320658471884203,0.8998478887195291,0.7416670593284237,False,False,101
20,0.5,5,15.0,5.0,55.0,2.3164959463455568,0.8998372018591855,0.7412151714082802,False,False,102
20,0.6,0,15.0,5.0,60.0,2.312626235679341,0.8998248998748918,0.7407937750145782,False,False,103
15,0.5,15,25.0,5.0,40.0,2.2319532711583325,0.9097074992107812,0.7375636765702014,False,False,104
15,0.7,10,15.0,5.0,55.0,2.2796386864552836,0.8998332978699987,0.7372636149695575,False,False,105
15,0.5,15,20.0,5.0,45.0,2.1972246875100545,0.9053386372043102,0.7314487942506719,False,False,106
15,0.6,10,25.0,5.0,45.0,2.1719966396296386,0.9102547708442339,0.7314388925746864,False,False,107
20,0.5,0,25.0,5.0,50.0,2.1542918369465474,0.9106552385428347,0.7297611486961222,False,False,108
20,0.4,5,25.0,5.0,45.0,2.1523320853500234,0.9100656171929086,0.7292281177381403,False,False,109
15,0.7,5,25.0,5.0,50.0,2.116414682678102,0.9108674352287406,0.7258187008353191,False,False,110
15,0.6,10,20.0,5.0,50.0,2.139461413362434,0.9056761182675073,0.7254441005086714,False,False,111
15,0.5,15,15.0,5.0,50.0,2.1635602801330585,0.8998444858175447,0.7248314325206326,False,False,112
20,0.5,0,20.0,5.0,55.0,2.123422999115415,0.9059258528004882,0.7238623355329467,False,False,113
20,0.4,5,20.0,5.0,50.0,2.120350324067331,0.9055589815689832,0.7233320876987479,False,False,114
15,0.7,5,20.0,5.0,55.0,2.085851914859308,0.9060591461861927,0.7199094557896455,False,False,115
15,0.6,10,15.0,5.0,55.0,2.10788651882337,0.8998332978699987,0.7188596145126034,False,False,116
15,0.4,15,25.0,5.0,40.0,2.0480127647052133,0.9097074992107812,0.7178536419808822,False,False,117
20,0.5,0,15.0,5.0,60.0,2.0934263032370852,0.8998248998748918,0.7173055377919932,False,False,118
20,0.4,5,15.0,5.0,55.0,2.0893050885099327,0.8998372018591855,0.7168706713703914,False,False,119
15,0.7,5,15.0,5.0,60.0,2.056159284522889,0.8998203753775121,0.7133097339355031,False,False,120
15,0.5,10,25.0,5.0,45.0,1.9950207314797739,0.9102547708442339,0.7124751453372119,False,False,121
15,0.4,15,20.0,5.0,45.0,2.0161462451275454,0.9053386372043102,0.7120454424193615,False,False,122
