wavelength_nm,R_Optimal,R_TiO2-only_control,R_Plain_lime,R_Purdue_benchmark
875.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
880.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
885.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
890.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
895.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
900.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
905.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
910.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
915.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
920.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
925.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
930.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
935.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
940.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
945.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
950.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
955.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
960.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
965.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
970.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
975.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
980.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
985.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
990.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
995.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1000.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1005.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1010.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1015.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1020.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1025.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1030.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1035.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1040.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1045.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1050.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1055.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1060.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1065.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1070.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1075.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1080.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1085.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1090.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1095.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1100.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1105.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1110.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1115.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1120.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1125.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1130.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1135.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1140.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1145.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1150.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1155.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1160.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1165.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1170.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1175.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1180.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1185.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1190.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1195.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1200.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1205.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1210.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1215.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1220.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1225.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1230.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1235.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1240.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1245.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1250.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1255.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1260.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1265.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1270.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1275.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1280.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1285.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1290.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1295.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1300.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1305.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1310.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1315.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1320.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1325.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1330.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1335.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1340.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1345.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1350.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1355.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1360.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1365.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1370.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1375.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1380.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1385.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1390.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1395.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1400.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1405.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1410.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1415.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1420.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1425.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1430.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1435.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1440.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1445.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1450.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1455.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1460.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1465.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1470.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1475.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1480.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1485.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1490.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1495.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1500.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1505.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1510.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1515.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1520.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1525.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1530.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1535.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1540.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1545.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1550.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1555.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1560.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1565.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1570.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1575.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1580.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
1585.0,0.09688862454581801,0.0894579642413958,0.05957167881199605,0.981
