wavenumber_cm-1,wavelength_um,n_BaSO4,k_BaSO4,emissivity_BaSO4,n_SiO2,k_SiO2,emissivity_SiO2,n_coating,k_coating,emissivity_coating,planck_300K_norm
1485.3079087214755,6.732610754498579,1.6118668203001232,0.001049573147822655,0.9451201446906408,1.352065483281273,0.0031132901617444766,0.9775931256665656,1.879252051592887,0.0003186829222304725,0.9067460014679315,0.2051149862148332
1485.8080650203187,6.730344406808189,1.611971606950791,0.0010464568305819533,0.9451057516325748,1.3523763846743428,0.0031050258186397024,0.9775594791804072,1.8792838734629105,0.0003178036792991687,0.9067413127405088,0.20482994237468688
1486.3082213191622,6.728079584411215,1.6120760828787304,0.0010433547158632307,0.9450914005207522,1.3526864616501522,0.003096794781940805,0.9775259055832904,1.879315607637595,0.00031692813942742144,0.9067366369199436,0.20454522606761608
1486.8083776180056,6.7258162857683494,1.612180249497878,0.0010402667152464061,0.9450770911677948,1.3529957175270808,0.003088596869846866,0.9774924046621781,1.8793472544857417,0.00031605628140137724,0.9067319739520194,0.20426083707360282
1487.308533916849,6.723554509342357,1.6122841082133996,0.0010371927413558187,0.9450628233874645,1.3533041556054244,0.0030804319018921168,0.9774589762046788,1.8793788143740415,0.0003151880836429349,0.9067273237828302,0.20397677517237917
1487.8086902156924,6.721294253598067,1.6123876604217637,0.0010341327072435629,0.945048596994654,1.3536117791675195,0.0030722996988024756,0.9774256199990463,1.8794102876670902,0.0003143235249136346,0.9067226863587774,0.203693040143428
1488.3088465145356,6.719035517002374,1.6124909075108074,0.0010310865269460322,0.9450344118053785,1.3539185914778653,0.003064200082548761,0.9773923358341794,1.8794416747274034,0.0003134625857385559,0.9067180616265678,0.2034096317659854
1488.8090028133793,6.71677829802423,1.6125938508598032,0.0010280541147542391,0.945020267636767,1.3542245957832495,0.0030561328762733057,0.9773591234996217,1.8794729759154318,0.00031260524417114487,0.9067134495332114,0.20312654981903985
1489.3091591122225,6.714522595134648,1.6126964918395301,0.0010250353858790122,0.9450061643070536,1.3545297953128654,0.003048097904488288,0.9773259827855607,1.879504191589576,0.0003117514800351177,0.9067088500260195,0.20284379408133665
1489.8093154110659,6.71226840680669,1.6127988318123365,0.001022030256476028,0.944992101635569,1.3548341932784365,0.0030400949926378106,0.9772929134828279,1.8795353221062023,0.00031090127352280476,0.9067042630526017,0.2025613643313762
1490.3094717099093,6.71001573151547,1.6129008721322062,0.0010190386425815508,0.9449780794427323,1.3551377928743347,0.0030321239676413692,0.9772599153828972,1.8795663678196555,0.00031005460412828487,0.9066996885608646,0.2022792603474172
1490.8096280087525,6.707764567738149,1.6130026141448268,0.0010160604618701466,0.9449640975500423,1.3554405972776966,0.0030241846574911397,0.9772269882778859,1.8795973290822756,0.0003092114513582375,0.9066951264990093,0.20199748190747777
1491.3097843075961,6.705514913953927,1.6131040591876495,0.001013095631607668,0.9449501557800699,1.3557426096485434,0.0030162768912290728,0.977194131960553,1.87962820624441,0.0003083717961745693,0.9066905768155294,0.20171602878933642
1491.8099406064393,6.703266768644051,1.613205208589959,0.0010101440706345288,0.944936253956449,1.3560438331298992,0.003008400499329309,0.9771613462242986,1.8796589996544304,0.00030753561885049613,0.9066860394592086,0.2014349007705338
1492.310096905283,6.701020130291795,1.613306063672931,0.0010072056978564126,0.9449223919038695,1.3563442708479005,0.0030005553131058176,0.9771286308631641,1.8796897096587444,0.0003067028989633594,0.906681514379119,0.20115409762837264
1492.8102532041262,6.698774997382474,1.6134066257496988,0.001004280433029757,0.9449085694480682,1.3566439259119178,0.00299274116529754,0.9770959856718303,1.8797203366018111,0.0003058736172022684,0.9066770015246189,0.20087361913992155
1493.3104095029696,6.696531368403425,1.613506896125415,0.0010013681964521615,0.9448947864158217,1.356942801414665,0.0029849578896024398,0.9770634104456181,1.8797508808261554,0.0003050477553854583,0.9066725008453508,0.2005934650820136
