wavelength_nm,R_ELW-1,R_ELW-2,R_ELW-3,R_ELW-4,R_ELW-5,R_ELW-C,R_plain_lime_lit,R_purdue_benchmark,AM1.5G_irr_W_m2_nm
430.0,0.988493263686989,0.9880386358975083,0.9874136321174847,0.9872534764508645,0.9860801447314491,0.9871657784311461,0.65,0.981,0.87462
440.0,0.9887655316649924,0.9883105769397855,0.9877451265523598,0.9875766375202212,0.986492632589303,0.9874453600308902,0.65,0.981,1.3499
450.0,0.9897964820652814,0.989413025027296,0.9888850796391864,0.9886874858938366,0.9877675717560994,0.9886672914267229,0.65,0.981,1.5595
460.0,0.9905158551892275,0.9902065817742153,0.9895730390616376,0.9894235561829499,0.9883872428901129,0.9895736340863571,0.65,0.981,1.5291
470.0,0.9894205552020543,0.9890276699500257,0.988623052836777,0.9882561972455206,0.9876767393478902,0.9882590470078418,0.65,0.981,1.5077
480.0,0.9882158980975505,0.9877311640489985,0.9872121342339237,0.9869713241649836,0.9859970345206595,0.9868126891856408,0.65,0.981,1.6181
490.0,0.9882045916573674,0.987723702497336,0.9871468580126618,0.9869518539582927,0.9858533854096031,0.9868097591704043,0.65,0.981,1.6224
500.0,0.9891893149578982,0.9887602706175603,0.9884363456477823,0.9880383665609838,0.9875548424632379,0.9879400197580903,0.65,0.981,1.5451
510.0,0.9893664432110209,0.9889401418526996,0.9884365635954739,0.9882440723535998,0.9873024609074538,0.9881285365146989,0.65,0.981,1.5481
520.0,0.9897799097627333,0.9894138763311631,0.9887901300941356,0.9886399106412371,0.987555366461676,0.9886892640416644,0.65,0.981,1.5236
530.0,0.9905260919462023,0.9902082023175018,0.9895773455716149,0.9894492909022162,0.9883820095830701,0.9895652135679962,0.65,0.981,1.5446
540.0,0.9911292924983488,0.9908455685632239,0.990250085428228,0.9901111539464127,0.9891426755127658,0.9902626615330891,0.65,0.981,1.4825
550.0,0.9908945523321852,0.9906157160916388,0.9900038585650804,0.9898240423572369,0.9888863348229179,0.9900314393227142,0.65,0.981,1.5399
560.0,0.9901803062512065,0.9898343213137021,0.989242733543341,0.9890833191373654,0.9880754657339472,0.9891465099514611,0.65,0.981,1.474
570.0,0.98945424246618,0.9890450407280486,0.9884569917812458,0.9883212552286116,0.9872204740960343,0.9882574495639467,0.65,0.981,1.4816
580.0,0.9889485086552602,0.9885201498729402,0.9879113881991648,0.9877513215551355,0.9866290919879314,0.9876938052362534,0.65,0.981,1.502
590.0,0.9887891012366702,0.9883477880791028,0.9877593022605301,0.98758249267464,0.9864922528343079,0.9875006500890681,0.65,0.981,1.3709
600.0,0.9890000668374276,0.9885652061820502,0.9880715224915095,0.9878225488325165,0.986947747650631,0.9877323378554366,0.65,0.981,1.4753
610.0,0.9890311406675372,0.9885822607902559,0.9880005191855856,0.9878811601414292,0.9867256859647442,0.9877327952940239,0.65,0.981,1.4686
620.0,0.9897040583982186,0.9893345170748794,0.9889310297280774,0.9885550319600083,0.9880138636706722,0.9886034707130801,0.65,0.981,1.4739
630.0,0.9896476732860552,0.989274676336576,0.9886355282835184,0.9884935528077785,0.9873706301169347,0.9885376844980629,0.65,0.981,1.3924
640.0,0.990048170371911,0.9896928175538907,0.9890503579358556,0.9889410462092384,0.9877947429527967,0.9889896089949513,0.65,0.981,1.434
650.0,0.9905922581674188,0.9902686714918467,0.9897316399137923,0.989536652083959,0.988668770958898,0.9896209085091963,0.65,0.981,1.3594
660.0,0.9906660031912389,0.990347482735967,0.9897225021363916,0.9896161231733522,0.9885306030038263,0.9897081749229272,0.65,0.981,1.3992
670.0,0.990786508487813,0.9904926902327474,0.9899118255054599,0.9897195245287351,0.9888221733620145,0.9898871312787441,0.65,0.981,1.4196
680.0,0.9907889933472354,0.9904951211928353,0.9899897029875688,0.9897225151654492,0.9890127472134621,0.989889595675896,0.65,0.981,1.3969
690.0,0.9903443261824486,0.9900143078272927,0.9893894885124286,0.9892521567145013,0.9881906883230831,0.9893512184119237,0.65,0.981,1.1821
700.0,0.9900722424521938,0.9897153888952666,0.9890832362307429,0.9889717006209292,0.9878404669383876,0.9890111958075853,0.65,0.981,1.2823
710.0,0.9901189456548241,0.9897643469915285,0.9892885054001603,0.9890235477819935,0.9882817556390365,0.9890643510828508,0.65,0.981,1.3175
720.0,0.9896605356396531,0.9892926261675494,0.9886700948992282,0.988500294678404,0.9874378978439631,0.9885624535352803,0.65,0.981,0.9855
730.0,0.9894984377123165,0.989127393461277,0.9885012009482551,0.9883127728471479,0.9872634367808572,0.9883884776483035,0.65,0.981,1.1285
740.0,0.9896813069153535,0.9893207472599491,0.9888587122980522,0.9885132236701213,0.9878723605951135,0.9886002168833624,0.65,0.981,1.2195
